ISSN;Estrato
2314-1433;B2
2145-4515;A1
2179-703X;B3
2446-6085;B2
0103-8117;B3
1807-7692;A2
0104-6578;B1
1982-2022;B1
1984-8196;A3
1807-054X;A3
1808-2386;A2
1807-734X;A2
0005-772X;B4
2687-6272;B3
1744-9081;A2
0144-929X;A1
1362-3001;A1
0166-4328;A2
0376-6357;A2
1463-5771;A1
2212-7984;A4
1516-8085;A4
1809-4775;B1
1562-4730;A3
1984-4123;B1
0102-4388;B3
2117-4458;B4
1878-8181;A3
0305-1978;B1
0300-9084;A2
2177-1332;B4
2236-2886;B4
2236-9171;B4
1939-1234;A2
1932-104X;A2
1726-4189;A1
1525-7797;A1
0961-9534;A1
2190-6815;A4
1679-365X;C
2314-6133;A3
0120-4157;B2
2574-1241;C
2057-1976;A4
0753-3322;A2
2227-9059;A2
2378-315X;C
0960-894X;A2
0968-0896;A2
0045-2068;A2
0960-8524;A1
1517-9664;C
1981-3163;B2
0956-5663;A1
2179-5746;B4
1052-0295;A4
1470-8744;A4
0141-5492;A3
1520-6033;A3
8756-7938;A3
1518-1812;B2
1472-6750;A3
1471-2407;A3
1472-6882;A1
1472-6963;A1
1471-2334;A3
1471-2180;A2
1471-2369;B1
1471-2458;A1
1746-6148;A2
2044-6055;A1
1980-4415;A1
1415-711X;B1
2675-4339;B3
2176-3038;B1
0303-9773;A2
2237-6208;B2
2675-1488;A1
2176-4786;A2
2675-9934;B4
0046-9939;A4
1678-2305;A4
2317-5206;B1
1981-8114;B4
2317-6237;B4
1981-3384;B1
2675-3391;B3
0101-7888;A3
2176-2988;A4
0101-708X;A2
2237-8006;B3
2526-7442;C
0102-549X;A4
2448-1483;A4
0366-3175;A3
0717-7917;B2
2594-942X;B4
0006-8993;A2
2237-8529;B4
2245-4373;A3
1519-9053;A4
2595-3621;C
2525-3621;C
1678-4324;A4
2179-2321;A3
1087-0237;B4
2595-573X;B4
1519-6984;A3
1678-4375;A3
2596-1934;C
0104-6632;A3
1678-4383;A3
2525-8761;C
0100-350X;B2
1981-6723;B2
2317-4692;A2
2595-6825;B3
1981-1640;A4
2358-8693;C
2237-7743;A4
1414-431X;A3
0100-879X;A3
1517-8382;A2
2237-8960;B3
1679-8171;B3
1677-3225;B1
1982-0593;B2
1984-8250;B1
2175-9790;B1
2675-102X;C
0103-0752;B1
2447-5580;B2
2319-0612;B1
2196-288X;A4
2357-7126;B3
1678-4456;B1
2446-8509;A4
1807-3107;A2
1981-3821;A1
1980-2447;A4
2257-0543;A4
2425-231X;A4
2409-9058;B2
0007-070X;A1
2231-0843;B1
2278-0998;B1
1045-3172;A1
2053-4051;A4
1732-4254;A1
0261-3050;A3
0250-4707;A4
0007-6503;A1
2151-6219;C
2057-0201;A2
2374-5924;A4
2374-1414;B3
0962-8770;A1
2694-6416;B4
0007-6813;A1
0266-3821;A3
2674-6433;B3
2047-7031;C
1463-7154;A1
2572-3170;A4
0964-4733;A1
1099-0836;A1
1822-4202;A3
2446-4880;B3
1983-8239;A1
0103-4979;A1
2238-1465;B2
1516-1803;B2
2447-6218;B4
2316-5952;B3
2318-2962;A1
0103-8427;A1
1980-6272;B3
2527-1946;A4
2179-1376;B3
1981-3082;B2
1516-9286;B2
2317-6954;B4
9999-898X;B4
2237-5422;B1
2317-6466;B2
2176-5774;A3
2525-9318;C
1677-6976;A4
1981-3759;B2
1519-0951;A3
2526-8910;B1
2448-0916;A4
2238-118X;B2
1413-4519;B3
1679-3366;B3
1679-3765;B3
1676-8450;B2
1678-1244;A4
2176-3364;B4
1414-7394;B2
2236-7934;B1
0104-1096;A4
2358-1212;B4
1808-3102;B4
1677-9061;B2
1980-5861;C
2340-860X;A1
2386-5229;A1
2238-1228;B4
2175-0165;B4
1415-3939;B4
2358-8306;B2
2316-9907;A4
2178-079X;A2
2182-7400;A1
1645-3794;A1
2595-4091;B4
0102-4248;B4
2446-8495;B4
1806-8944;B3
2525-6904;A3
2674-5704;B3
1807-9415;B3
0871-1623;B1
2318-9231;B3
2237-8871;A3
1809-7634;B3
0101-3424;B2
2179-4790;B2
0104-9712;B2
2178-2229;A3
0100-1574;A1
1980-5314;A1
1980-9700;A4
2175-2613;A4
1516-0793;B4
2525-3514;B1
1983-1358;B2
2317-0026;B2
1981-0490;A3
1516-3717;A3
1678-4464;A1
0102-311X;A1
1646-3714;B1
2238-2860;B1
2447-861X;A4
2175-0173;A1
1413-8409;A1
2447-7532;A3
1809-8606;A3
2448-1521;B4
2317-4536;C
1413-9022;C
2595-2986;A4
1679-3951;A2
0104-7078;B2
1806-2261;A3
2236-5710;A3
2358-1824;B3
2175-1056;B3
1415-8132;C
2236-9996;A1
1517-2422;A1
2359-5337;B2
1809-4449;A1
0104-8333;A1
1678-5304;C
1676-6288;B1
2358-291X;B1
1414-462X;B1
1982-1816;B3
2236-4099;B4
2595-1750;B3
1141-7161;B2
2318-4574;B1
0309-166X;A1
2175-4217;B1
2359-0599;B4
2358-4750;A4
1678-6343;A1
1983-778X;A2
2236-4552;B4
1809-6271;A2
0825-0383;A3
0008-3984;A4
0008-4085;A2
1712-7971;A1
1517-6916;B1
2238-4901;B4
1809-2489;B4
2595-7341;A4
2177-4153;B1
0144-8617;A1
1362-0436;A1
1413-0904;A2
2526-9038;A2
2090-6447;B2
2213-624X;A2
2675-4703;B3
0742-2091;A1
1420-9071;A1
0576-9787;B2
2595-4881;B1
1678-4553;B1
0366-6913;B1
2543-9472;B4
0104-7760;B1
1983-1625;B2
2182-908X;B3
0577-5132;A2
2297-6477;B1
1390-1079;A2
1809-127X;B2
0255-2701;A1
0098-6445;A3
