ISSN;Estrato
0272-6351;A3
2076-0817;A3
1219-4956;A2
0031-3025;A2
1433-7541;A4
0031-3203;A1
1463-9076;A1
2446-8169;B1
0031-5125;B1
2359-2842;A2
0724-8741;A1
1999-4923;A1
0973-1296;B4
0163-7258;A1
0141-1594;B1
0950-0839;B2
1478-6435;A4
1471-2962;A1
1364-503X;A1
1042-6507;B2
2080-2242;B2
1549-5418;A2
1387-974X;A4
1674-9251;A4
2304-6732;A3
1569-4410;A3
2327-9125;A1
0300-3604;A2
0921-4526;A4
0921-4534;B1
1120-1797;A2
0031-8949;A4
1862-6300;A3
0370-1972;A4
1521-3951;A4
1862-6254;A2
2236-3521;C
2446-564X;C
1463-9084;A1
1050-2947;A1
2469-9926;A1
1094-1622;A1
2331-7019;A1
1098-0121;A1
0163-1829;A1
2469-9950;A1
1089-490X;A1
2469-9985;A1
0556-2813;A1
0556-2821;A1
2470-0010;A1
1550-7998;A1
1089-4918;A1
1550-2368;A1
1539-3755;A1
1063-651X;A1
1550-2376;A1
2469-990X;A2
1079-7114;A1
0031-9007;A1
2475-9953;A3
2469-9896;A1
2643-1564;C
1554-9178;A1
2160-3308;A1
2348-0130;B3
2624-8174;C
2576-4543;C
0342-1791;A4
0031-9120;A2
1361-6552;A2
0836-1398;B2
2471-8491;C
0370-2693;A2
1562-692X;B3
1063-7788;B3
2687-153X;C
1070-6631;A1
1571-0645;A1
1063-7796;B2
1547-4771;B2
1070-664X;A3
2212-6864;A3
0031-9201;A2
2666-0326;C
0370-1573;A1
0959-8472;C
1063-7869;A2
1361-6579;A3
0967-3334;A3
2051-817X;B1
0031-9422;A1
0944-7113;A1
0032-0633;A4
0167-4412;A1
0981-9428;A1
0168-9452;A1
0032-0943;A1
2223-7747;A4
0272-4324;A2
0741-3335;A2
1612-8850;A1
2516-1067;C
0963-0252;A2
0147-619X;B1
1557-1955;A3
1545-7885;A1
1935-2735;A1
0277-5387;A2
0032-3861;A1
1436-2449;A3
1548-0569;A2
0141-3910;A1
0032-3888;A3
1548-2634;A3
0142-9418;A1
2073-4360;A2
1042-7147;A2
2520-8063;C
2520-8497;C
1438-3896;A3
2447-9535;C
1647-1571;B1
0032-5910;A1
0304-4289;A4
1364-5021;A2
1996-756X;B2
1540-7489;A1
0962-8444;A2
1820-6131;B1
0300-9440;A1
0146-6410;A1
0079-6727;A1
2050-3911;A2
0721-3115;A3
0033-1538;B1
1046-5928;B1
0961-8368;A3
0887-3585;A3
0033-2720;A4
0951-418X;A1
1323-3580;A3
1448-6083;A3
0004-6264;A2
0004-6280;A3
2578-5885;C
0033-4545;A3
0033-4553;A3
2521-327X;A2
1533-7146;A4
1573-1332;A3
1570-0755;A3
2624-960X;C
2058-9565;A1
2196-5609;B2
2674-9688;C
0035-9009;A2
2176-6142;A2
0104-8899;A2
1350-4487;A2
1742-3406;B2
0033-7587;A2
0048-6604;A2
1865-0333;A4
0033-8419;A1
0951-4198;A3
2058-9883;A1
1381-5148;A2
0147-1937;B3
1307-6167;A4
1579-1513;A2
2090-2867;A3
1980-3141;A4
0392-4130;C
0041-8994;B2
2037-4631;A2
0034-4877;B2
0034-4885;A1
1031-3613;A2
0958-2029;A1
1674-4527;B1
2446-4740;A4
0922-6168;A3
2211-3797;A4
0034-6667;A3
8755-1209;A1
0100-6762;B1
2178-9606;B4
0102-4744;A1
1806-1117;A1
1806-9126;A1
1981-528X;A3
2176-8978;B3
1984-9001;B3
2358-0089;B2
0102-261X;B2
1806-5104;A1
1984-2686;A1
2176-1477;A3
0120-2804;B3
2307-695X;B3
2675-4630;B3
2183-1270;A4
2236-5222;A4
2595-7848;C
2238-2380;A4
0326-7091;A3
2526-2378;B1
1578-7680;B2
2617-4731;B4
2447-6099;A3
1519-6968;B3
0100-6991;B1
2526-4923;B1
1984-4735;B1
2178-3039;B2
2316-7297;B2
2177-5788;B2
1697-011X;A1
2675-0589;C
1984-8625;B1
2619-2985;C
2675-6722;B3
1806-7573;A3
0255-6952;B2
0185-1101;A4
0035-001X;B2
2683-2216;B3
2526-7647;A4
2318-8650;A4
2675-1933;B2
1808-6462;C
2618-5474;C
2359-4071;B4
2359-4993;B1
2525-5444;A4
2358-7822;B3
0718-5162;A1
0172-8172;B1
1365-2966;A1
1745-3933;A1
2046-2069;A2
2632-8682;B3
1064-8887;B2
1982-6907;B2
0036-5564;A2
0586-7614;A1
2523-1154;B2
1573-1901;A1
0926-7220;A1
1468-6996;A2
1674-7348;A3
2683-9288;C
2470-9476;A1
1804-7106;A4
2596-1640;B2
2631-4053;C
1359-6462;A1
0268-1242;A2
1063-7826;B2
1676-5451;B4
0924-4247;A1
0925-4005;A1
1536-0040;A2
1876-990X;B1
1984-5812;B4
1540-9740;B3
2366-9608;A1
0921-4488;A2
1613-6810;A1
1539-445X;B1
1744-6848;A2
1744-683X;A2
2352-7110;A4
1838-675X;A3
0361-5995;A3
0266-0032;A2
0927-0248;A1
0038-0938;A3
0038-1098;A4
0167-2738;A2
0926-2040;A3
1869-9510;A1
0038-1101;A3
1727-9321;A3
0038-6308;A1
1542-7390;A2
2171-9292;A4
0584-8547;A2
0038-7010;B2
1825-1234;B1
0038-9056;A3
1611-3683;A2
1757-6512;A2
1873-5061;A2
1547-3287;A2
1040-0400;A4
0969-2126;A1
1355-2198;A3
1082-6084;A3
1819-0839;B4
0953-2048;A2
0749-6036;A3
0257-8972;A1
0142-2421;A4
0267-0844;A3
0039-6028;A2
2468-0230;A2
0169-3298;A1
2398-4902;A2
2214-9937;A1
2073-8994;A4
1815-0659;A4
0039-7881;A3
0039-7911;B1
1063-5157;A1
1876-1070;A1
0039-9140;A1
2176-1515;B1
2526-3471;B1
0040-4039;A3
0040-4020;A4
0003-004X;A2
0003-0147;A1
0004-6256;A1
0935-4956;A1
0004-637X;A1
2041-8213;A1
2041-8205;A1
0067-0049;A1
2468-2330;B3
1286-0050;B2
1155-4304;A4
1434-6028;A4
1434-6060;A4
1434-6079;A4
1292-8941;A4
1951-6401;A3
0892-6638;A1
1742-464X;A2
0021-8464;A2
0021-9258;A1
0021-9606;A2
0022-1309;B2
1126-6708;A1
1029-8479;A1
0195-6701;A2
1089-5639;A3
0022-3913;A1
0022-4804;A3
0001-4966;A2
0021-9142;A2
2213-2600;A1
0343-6993;B3
1052-8091;C
1875-1814;C
0031-921X;A1
1432-881X;A4
1431-7613;A3
1838-7640;A1
0354-9836;B1
0040-6031;A2
0040-6090;A2
1022-5528;A2
1537-6516;A4
0340-4285;A3
2158-3188;A1
1023-8883;A2
1472-9792;A4
1010-4283;A2
2333-1232;C
2071-0186;B3
0304-3991;A2
1350-4177;A1
0301-5629;A2
1615-5297;A3
2218-1997;B1
0042-207X;A3
1539-1663;A2
0924-2031;A4
0042-6822;A2
1999-4915;A2
1554-7531;B1
0043-1648;A2
2150-1351;A4
1948-5182;A3
0044-2313;B2
1433-7266;B3
2194-4946;B1
0932-0776;B2
0932-0784;A3
0577-9073;B1
1175-5326;A4
2053-1583;A1
2675-6684;C
2594-8245;C
1557-8100;A3
0102-6720;A4
1631-0691;A2
0132-8077;B1
2107-7207;A4
0044-586X;A4
0949-1775;B2
1948-7193;A2
0044-5967;A3
2358-2375;C
0001-5202;B3
2596-0016;B2
0120-548X;B1
0301-2123;C
0001-5342;A1
0236-6495;A4
0210-9506;B4
2340-5074;B4
0187-7151;B2
0084-5906;B4
2526-4338;C
2526-432X;C
1508-1109;A3
1733-5329;A3
1872-2032;B2
0374-1036;B2
1437-9546;A4
0873-9749;A4
1827-9635;B1
0065-1281;A4
0567-7572;B4
2406-6168;B4
0137-1592;B3
2179-975X;B2
0044-6025;A4
2336-3193;B4
1146-609X;A3
0001-6454;A4
1230-2821;B2
1861-1664;A2
1678-0345;B2
1807-8672;B2
1679-9283;B2
1807-8648;B2
2581-3226;B4
1982-422X;C
1851-3743;C
0236-6290;A3
0065-1729;C
1392-1657;C
0065-1737;B1
1463-6395;A3
0001-7272;A3
0304-3584;B4
1280-8571;B2
2238-2984;B4
1606-6359;A3
2042-4868;B2
2354-2152;B3
2162-2183;C
0065-2504;A1
2357-8181;B4
0065-2881;A1
1898-4002;A3
2165-3410;B3
2687-8089;C
1687-6334;A2
1674-9928;B4
1021-3589;B2
1681-5556;B1
1814-232X;A4
1996-0816;B4
1368-5538;A4
1984-252X;B4
0738-145X;C
2381-7178;C
1461-9563;A2
1461-9555;A2
2083-1587;A4
0308-521X;A1
0002-1857;B2
1405-3195;B2
2301-1548;B4
2525-6920;C
1572-9680;A2
0103-0779;B4
0100-7467;B4
2639-6696;B4
2182-4401;B4
0103-3816;B4
0889-2229;B2
2372-0352;B4
0311-5518;A4
0741-8329;A2
1226-2617;A2
2211-9264;A1
0971-4693;A4
0974-1240;A4
2594-5092;B4
2191-0855;A4
2386-4362;A4
1413-8638;A3
0044-7447;A1
0002-7014;A4
0002-8444;B1
1557-4555;B2
0002-9122;A2
1537-2197;A2
0271-3586;A3
1552-4868;A1
1098-2345;A1
0275-2565;A1
1943-8141;A2
1476-1645;A3
0002-9645;A3
0740-2783;B2
0003-0082;A1
1438-2199;A2
1083-446X;A4
2640-4141;B4
0173-5373;A4
1806-4841;B2
2448-2811;B4
2318-2148;B4
1989-2128;B4
1646-6020;A4
1677-3055;B3
0884-6812;B4
0910-6340;B1
0340-2096;A4
1439-0264;A4
0735-1348;B3
0303-4569;B2
2328-5842;C
0003-3472;A1
1578-665X;A4
1570-7563;A4
1570-7555;A4
1435-9448;A2
1469-1795;A1
1367-9430;A1
1365-2052;A1
2524-4671;C
0378-4320;A2
2377-7478;A1
0083-6133;B4
0037-9271;B1
0003-4088;B2
2100-000X;B2
0003-4541;B1
0003-455X;A4
0003-4746;A2
0976-1233;C
0305-7364;A1
1476-0711;A3
2641-2969;C
1844-8135;A3
0301-4460;A3
1590-4261;B1
2299-0631;A4
2469-4460;A2
0013-8746;A2
0026-6493;A2
0077-8923;A1
2165-8110;A1
0084-6597;A1
1543-592X;A1
0954-1020;A3
0250-7005;B1
1572-9699;A4
1852-5784;B2
2041-2851;A2
0044-8435;A2
1297-9678;A2
2168-0450;A3
0168-1591;A1
0273-2289;A2
1559-0291;A2
1785-0037;B2
1589-1623;B2
0003-6862;A4
0143-6228;A1
0929-1393;A1
0570-4928;A1
1359-4311;A1
1402-2001;A1
1654-109X;A1
2576-9162;C
0945-9871;C
2378-3184;C
1869-7534;A3
1573-143X;A2
1365-2095;A1
1353-5773;A1
1873-5622;A1
1365-2109;A1
1864-7782;A4
0304-3770;A2
1099-0755;A2
1052-7613;A2
1386-2588;A2
1463-4988;B1
0165-0424;B3
1818-5487;A3
1765-2952;B1
0990-7440;B1
0167-5427;B1
0948-3055;A3
2168-9148;C
1015-1621;A2
2458-5920;B4
2421-2091;C
2050-9928;B3
0103-5657;B3
1472-3646;A3
1869-0963;B2
2687-8100;B4
1432-072X;B1
0365-0340;A2
1821-4339;A4
2455-2283;C
2359-3997;B2
1432-0703;A3
2675-4711;B3
0739-4462;A3
0302-8933;B1
1517-784X;B2
0304-8608;B1
0373-2266;A3
0570-7358;A2
1984-4255;A2
1532-4982;A4
1815-8242;B2
0365-074X;B4
1982-1131;B4
1415-8167;B4
0066-7870;C
2446-5666;B4
0102-6380;B4
1467-8039;A2
1863-7221;A3
1872-8847;A3
1872-8855;A3
2224-4255;B4
2456-690X;C
0972-3005;B4
0976-3376;C
2221-1691;A3
1995-7645;A1
1768-3262;B4
0077-5630;B2
1981-8831;C
0104-2386;C
1981-8874;C
2190-7234;C
1442-9993;A4
1442-9985;A4
2052-1758;A3
1833-928X;B2
0815-3191;A4
0812-0099;A3
0045-0618;B1
1030-1887;A4
1566-0702;A3
2228-7949;B4
1808-2688;B4
1439-1791;A2
2255-1476;B4
0005-6227;C
0001-8244;A2
1045-2249;A1
0340-5443;A1
1568-539X;A3
0005-7959;A3
0955-8810;A3
0952-4622;A2
1316-3361;B1
1024-2422;B1
0006-2928;A3
0006-2952;A1
0300-5127;A2
1386-6141;A1
0958-3157;A3
0923-9820;A3
1677-874X;B4
0960-3115;A2
1572-9710;A2
1314-2828;A4
1546-9735;B4
2535-0897;B3
2575-906X;C
2039-0394;C
1488-8386;B1
0265-9247;A1
1983-4209;B4
2525-9725;B4
0168-2563;A1
1389-5729;A1
2242-1300;B1
1336-9563;B1
0006-3088;B1
0006-3134;A2
0144-8765;A2
1049-9644;A1
1387-3547;A1
1573-1464;A1
0024-4066;A2
1095-8312;A2
0717-6287;A1
1464-7931;A1
1469-185X;A1
1555-5542;B4
1559-0720;A3
1045-1056;A4
0178-2762;A1
1744-9561;A1
1529-7268;A1
2042-6410;A2
2046-6390;A2
2182-2379;B4
1099-0801;A4
1387-2176;A3
0323-3847;A3
1179-7649;B4
2331-8325;B3
1525-3244;A1
0916-8451;B1
1516-3725;B2
0006-3568;A1
0303-2647;A2
1537-5110;A1
0124-5376;B1
1678-6424;B1
1676-0603;B1
1676-0611;B1
1310-2818;B1
0974-7435;B2
0885-4513;A4
2452-0721;A4
1609-1841;B4
2074-8647;B4
2175-7925;B4
0103-1643;B4
1744-7429;A2
0959-2709;A2
0006-3657;A4
1471-2105;A1
1741-7007;A1
1472-6785;A3
1471-2156;A2
1755-8794;B1
1471-2377;A4
2050-6511;A4
1471-2229;A2
1756-0500;B1
0959-8138;A1
0302-2439;C
2316-9052;C
1413-4853;A4
0067-9615;B4
1981-5697;C
1982-6421;C
0102-4337;C
0103-9121;C
1807-5398;B3
0077-2216;B4
1807-5401;B4
1676-5664;C
0123-3068;A4
1851-2372;B3
0373-580X;B3
0255-4402;C
0798-0639;C
2190-7307;B3
0524-0476;B3
0717-9200;B1
1437-4323;A4
0006-8055;A4
1821-2638;B2
2007-4476;B1
2381-8115;A4
1916-2804;A3
1916-2790;A3
0265-086X;B2
1678-4499;A3
1516-8913;A4
2318-2407;B4
1808-7035;C
1983-9057;C
2358-2731;B4
1806-9959;A4
0100-8455;A3
2317-4889;A2
1679-8759;A4
1982-436X;A4
2527-2179;B2
1413-9596;B1
1344-7610;A2
1467-5463;A1
1477-4054;A1
2231-2919;B3
1938-436X;B1
0007-196X;B1
2381-9677;B4
0524-4994;B3
0037-928X;C
0037-9409;A3
0007-4853;A2
0007-4861;A4
1721-8861;A4
0007-4977;A4
0003-0090;A2
0007-1595;B3
0012-9623;B4
2327-6096;B4
1348-2653;B4
2057-0570;B4
0007-5167;B4
1938-288X;C
1984-6738;B4
1677-5600;B4
2358-2367;C
2237-6992;B4
2526-5318;B3
0007-9723;B2
0366-5232;B2
2359-0580;B4
0008-347X;A3
1918-1825;A4
0008-4034;A3
1205-7533;A2
0706-652X;A2
0045-5067;A2
1480-3275;B1
0008-4212;B1
1480-3283;A4
0008-4301;A4
0373-2967;B2
1750-0680;A1
0008-6363;A1
1844-489X;A4
0008-7114;A4
0302-766X;A1
1065-6995;B2
2211-1247;A1
2666-3864;C
1165-158X;C
0008-8749;A3
1015-8987;A1
1407-7841;B4
1439-4227;A3
2347-9825;B2
1612-1880;A4
1029-0370;A3
0275-7540;A3
1752-153X;A2
0009-3130;B2
0937-7409;A2
0718-5839;A4
0009-5893;B1
0009-5915;A2
0967-3849;A3
1981-1829;A2
0304-5609;B1
2416-3953;B4
1984-154X;B2
0103-9954;B2
0185-0334;C
1390-9592;B4
0185-3880;B2
0748-3007;A1
1863-0669;A3
1863-0650;A3
1756-5537;A1
1814-9324;A1
1573-1480;A1
1058-4838;A1
1556-3650;A2
0578-5634;A2
1809-6875;B3
2331-2025;B4
2331-1916;A3
2578-0190;C
1943-0264;A1
0831-4985;B4
1021-5212;B4
1997-1990;B4
2237-4027;B4
1942-0889;A2
1585-8553;B2
1095-6433;A1
1531-4332;A1
1879-1107;A1
1096-4959;A1
1744-117X;A2
1993-078X;A3
1993-0771;A3
0147-9571;A2
1525-2647;B3
1631-0713;A2
1980-0584;B2
2176-9079;B2
0972-4923;A3
0888-8892;A1
1523-1739;A1
1758-2067;B1
1566-0621;A2
1572-9737;A2
1877-7260;B1
1877-7252;B1
1755-263X;A1
2051-1434;A2
2578-4854;B1
0045-8511;A3
1938-5110;A3
1432-0975;A1
0722-4028;A1
2304-0963;B2
1353-985X;C
0195-6671;A2
0735-2689;A1
1836-0947;A3
1984-7033;A4
2632-7309;B4
0261-2194;A2
0287-3478;B4
0011-216X;B2
0011-2240;A2
0143-2044;B1
2456-0251;C
0181-1568;A3
1290-0796;A4
0181-1584;A1
1852-5768;B4
1575-2410;B4
0864-0408;B4
1516-358X;C
1871-1510;A1
1573-4072;B1
2211-5501;B1
2198-6436;A1
2167-4876;B2
0172-8083;A3
1345-5834;B3
2364-494X;B4
0343-8651;B1
0958-1669;A1
2468-5844;A2
2214-5745;A1
2452-3100;A2
1385-2728;A4
1389-2010;A3
2214-6628;A2
1389-2037;B1
1934-3663;A4
2229-2225;B3
0972-4583;C
2641-6875;B4
1674-5507;A1
2101-0315;B2
0399-0974;B2
1424-859X;B2
1424-8581;B2
1043-4666;A4
0011-4545;B1
0920-9069;A4
1212-1800;B1
0011-6793;B3
2306-5729;A4
1758-0463;A1
0967-0637;A1
0967-0645;A1
1641-1307;A3
1125-7865;A2
1529-8019;A4
0145-305X;A1
0012-1606;A2
1932-846X;A2
0732-8893;A4
0269-249X;B1
0013-9998;A4
0163-2116;A4
0177-5103;A4
1424-2818;A4
1472-4642;A1
1366-9516;A1
1340-2838;A2
1516-8840;C
0070-7333;C
0272-4391;B1
1740-6757;B3
2194-9379;B1
1405-4094;C
0377-0265;A3
1755-6910;A1
1794-6190;B2
2328-4277;A1
0012-8252;A1
0906-7590;A1
1612-9202;A2
1936-0592;A1
1642-3593;A4
1667-782X;B2
2316-980X;B4
2447-3170;B4
1051-0761;A1
0925-8574;A1
1365-2311;A2
0307-6946;A2
1574-9541;A1
0012-9615;A1
2192-1709;A3
0912-3814;A3
1440-1703;A3
1543-4060;B3
2688-8319;C
2045-7758;A2
1708-3087;A1
1461-0248;A1
1461-023X;A1
0367-0244;A4
0906-6691;A2
1600-0633;A2
0013-0001;A2
1195-6860;B1
1697-2473;B1
2007-901X;B2
2212-0416;A1
2639-5916;A2
1432-9840;A1
1573-3017;A2
0963-9292;A2
0949-3026;C
1413-4411;C
0960-4286;B2
2448-2145;B2
1983-3156;A1
2561-2271;B2
1110-1768;B2
1460-9568;A4
0073-3407;B4
0717-3458;A3
1811-5209;A1
2050-084X;A1
2448-0789;B3
1980-3982;C
1080-6040;A1
2222-1751;A1
2079-052X;A4
1021-1357;A4
0158-4197;A2
1613-4796;A2
1863-5407;A2
0013-7227;A2
2363-7692;A2
1390-6542;B3
1415-6938;B1
1983-0572;B4
0013-8703;A2
0171-8177;A1
1947-5136;A4
2675-1305;C
0013-872X;B3
0723-9912;C
2161-0983;B4
2331-6268;B4
2194-5411;A2
0098-8472;A1
0893-6692;A2
2665-9727;B3
1610-3661;A1
0376-8929;A2
2637-4943;B4
1866-6299;A2
1178-6302;A3
0091-6765;A1
0364-152X;A2
1364-8152;A1
1208-6053;A1
1181-8700;A1
1520-5851;A1
2051-8153;A1
2523-8922;C
1552-8618;A2
0730-7268;A2
1382-6689;A2
1522-7278;A1
1520-4081;A1
2090-0406;A4
2324-9250;A3
0950-2688;A4
1756-8935;A2
2595-1378;B1
1414-722X;A2
1519-7816;A4
2177-1227;C
1516-6406;B3
1559-2723;A2
0272-7714;A2
2159-8126;A4
1547-3465;B1
0179-1613;A3
1439-0310;A3
0394-9370;A3
0014-2336;A2
1879-4920;A2
2349-8870;C
0014-2972;A2
0934-9723;A3
1802-8829;A4
1210-5759;A4
1876-3820;A4
0967-0262;A2
0929-1873;A2
1573-8469;A2
0932-4739;A4
2279-7254;A2
1164-5563;A1
1365-2389;A2
1351-0754;A2
2118-9773;A4
1439-0574;A4
1612-4642;A4
2278-7356;C
1741-4288;A3
2236-6059;B1
2041-9139;A3
1520-541X;A3
1752-4571;A1
1176-9343;A4
0071-3260;A2
1522-0613;A4
2513-843X;B2
2578-031X;C
0168-8162;A3
1572-9702;A3
0531-5565;A3
0301-472X;A3
0958-0670;A3
2318-3640;B3
2269-6016;C
0014-8962;B2
1574-6941;A1
0168-6496;A1
0168-6445;A1
1567-1364;A3
1982-2162;C
1747-8200;C
1983-053X;A3
2571-6255;A4
1467-2979;A1
1573-5168;A3
0363-2415;A2
1365-2400;A3
0969-997X;A3
1054-6006;A2
0165-7836;A2
0090-0656;B1
2410-3888;B2
2177-8035;C
1415-0980;B3
0015-3826;B2
1938-5102;B1
1806-8863;B1
1933-6934;A3
1018-5674;C
0015-5497;B2
2448-4776;B4
1211-9520;A4
1506-7629;B3
1803-6465;A4
0015-5683;A4
0015-5713;A4
1421-9980;A4
0954-0105;A3
2048-3694;A1
0890-5436;B1
2643-8429;C
2381-182X;B2
1226-7708;A4
1082-0132;A3
1876-4517;A2
2352-2496;A2
1872-4973;A1
1875-1768;B3
2665-9107;B4
2589-871X;B2
2197-5620;A1
1437-4781;A3
0015-749X;A3
0015-752X;A1
2577-8307;B4
1472-8028;A4
1805-4927;A2
1802-5439;A2
2312-6604;C
2161-9565;A1
2161-9549;A1
1026-0269;C
1662-5153;A3
2296-6463;A2
1540-9295;A1
1664-2392;A3
2296-665X;A2
2624-893X;B4
1662-5145;A4
2296-9144;A3
2571-581X;B1
2624-9375;C
1742-9994;A1
1948-6596;B2
1445-4408;A2
0767-3981;A3
1863-9135;A4
1749-4613;A1
1560-2745;A1
1754-5048;A3
1087-1845;A3
2589-3831;B4
1746-0921;A3
2056-5623;A4
2046-1402;A3
2382-5812;C
0016-5301;B1
0717-652X;B3
0378-1119;A4
1095-6840;A1
2073-4425;A3
0925-9864;A3
1573-6857;A3
0016-6707;A3
1415-4757;A3
0016-6731;A2
1480-3321;A3
0831-2796;A3
2642-1194;B4
0888-7543;A1
2054-4049;A2
1472-4677;A1
1472-4669;A1
0102-9800;B2
1733-8387;B1
1578-5157;B1
2178-3306;A4
2446-9165;A3
0016-7398;A1
0016-7460;B4
0305-8719;A2
0276-0460;A2
0149-0451;A3
0169-555X;A1
1526-0054;C
1226-4806;A2
0367-4223;A4
2709-4715;C
2047-217X;A1
1548-1603;A1
0921-8181;A1
1365-2486;A1
0960-7447;A1
1466-822X;A1
2277-8160;B3
1984-3801;B4
0959-6658;A2
1342-937X;A1
0017-3134;A4
0367-505X;C
0142-5242;A1
2193-2824;B4
1568-9883;A1
1938-2944;B2
1043-4534;B2
1070-0048;B2
1438-387X;A4
1523-5378;A2
1336-9083;B1
0440-6605;B1
0018-067X;A2
1983-6996;C
2359-165X;C
2316-4670;C
0018-0831;A3
1938-5099;A3
1473-0928;B3
1931-7603;B1
0268-0130;A4
0733-1347;A2
1013-4425;B3
2711-2152;C
0188-8897;B3
1699-5848;A3
0326-1778;C
0391-9714;A2
0073-2877;B1
0018-3830;A2
0018-506X;A1
1868-8497;A4
1806-9991;B2
2311-7524;A3
0960-3271;A4
1477-0903;A4
1074-4827;B1
2059-2302;A3
0018-7259;A2
1099-1085;A1
0885-6087;A1
2150-3435;A2
0262-6667;A2
0916-9636;A2
0394-1914;A3
1825-5272;A3
0019-1019;A1
1095-9289;A1
1042-0940;A4
1868-3703;C
0936-9902;A3
1341-8998;B1
0718-3429;B3
1545-598X;A1
2168-6831;A1
0103-3360;C
1971-7458;A2
0073-4705;B3
2446-8231;B3
0073-4721;B1
1678-4766;B1
1084-2020;A3
2210-6340;A1
0019-2805;A1
2454-1362;C
1475-2689;A3
0376-4699;B2
0019-5189;B3
0379-5136;B4
0046-8991;A4
0974-5645;A3
0975-1068;A4
1550-9087;B2
2049-9957;A2
0360-3997;A3
1023-3830;A3
1750-2640;A3
0103-667X;B4
2448-220X;B4
0100-3364;B4
2044-2041;A2
2044-205X;A2
2399-5300;A3
1958-5853;B4
1752-458X;A2
0962-1075;A1
1744-7917;A1
1672-9609;A1
1399-560X;A3
2399-3421;B4
1876-312X;A3
0749-6737;B4
2075-4450;A2
1551-3777;A2
1551-3793;A2
1540-7063;A1
2056-8339;C
2517-4843;B4
1749-4877;A1
1749-4869;A1
2197-425X;C
1519-8847;B1
2176-669X;B2
0826-4805;A2
1806-6062;A2
2455-6378;C
2008-6970;B2
1755-7682;C
1011-8829;C
0020-7519;A1
2211-3207;A2
0300-9831;B2
0164-7954;A4
2167-0447;C
1814-9596;A4
1560-8530;A4
2319-1473;C
1927-5773;C
2322-5270;B4
2314-4157;C
2141-243X;C
2151-3740;A2
1916-968X;C
0167-5273;A2
2381-1803;C
2319-7706;C
0736-5748;A4
1687-9708;B1
0377-015X;C
2456-1878;C
2333-8628;C
0960-3123;B1
2367-8941;C
1735-2630;A2
1882-6547;B3
0959-9673;A4
2347-5129;C
1687-9368;A3
1553-8362;B4
2314-4378;A3
1476-072X;A2
2576-4454;B3
1438-4639;A1
0955-9930;B1
2517-9942;C
1748-0930;A2
2454-4116;C
1388-7890;B1
2159-6719;B1
1674-2818;A1
2576-4802;C
0967-0874;A4
0975-248X;C
0975-4873;B3
0975-0185;C
1058-5893;A3
0164-0291;A2
2349-0365;C
1571-5124;A4
2250-3153;C
1001-6279;A2
0392-6672;A4
0956-4624;A4
1466-5026;A4
1742-7592;B2
2314-4599;B1
2252-5211;A3
1049-8001;A1
1811-9786;B4
1687-8485;B2
2639-216X;B4
1434-2944;A2
1742-4801;A1
0074-9664;A4
0300-5526;B2
1077-8306;A3
0792-4259;B1
1445-5226;A2
2310-2799;C
2251-628X;B3
1735-7020;B2
1726-6890;A4
1413-7895;B2
1880-7682;B4
1025-6016;A3
0924-2716;A1
0792-9978;A3
1828-051X;A2
1120-1770;B1
1748-5851;A3
1023-9030;B4
2352-5126;B2
2374-2445;A1
1518-0557;A4
1678-4782;A3
2332-1660;B2
1156-5233;B1
0021-8375;A3
2090-1232;A1
2394-1081;B2
1464-343X;A3
2384-731X;C
1680-7073;A3
2161-6264;B4
1939-1250;B4
2394-1073;B4
2316-1809;B4
1439-037X;A1
0931-2250;A1
0021-8782;A2
2071-7024;B2
1365-2656;A1
0021-8790;A1
0021-8820;A4
1643-4439;B1
0971-2119;A2
1088-8705;A3
1545-0805;B2
1045-4438;B2
1214-0287;A2
1613-9216;A4
1439-040X;A4
1365-2664;A1
0021-8901;A1
0044-2240;A2
1439-0418;A2
0931-2048;A2
0175-8659;B2
1439-0426;B2
0921-8971;A1
8750-7587;A2
2214-7861;A2
1099-1263;A2
2155-9546;C
1049-8850;B1
0140-1963;A2
1735-7179;B1
1058-0468;A2
0908-8857;A1
2471-0172;C
2469-2786;B4
0973-4449;C
1521-4028;A4
1095-6670;A2
0145-479X;A3
2359-2710;B4
1365-2699;A1
0305-0270;A1
0021-9320;A2
2179-4804;B4
0373-6687;A4
2474-7580;C
1074-2484;A3
1582-1838;A2
0730-2312;A3
0098-0331;A2
0268-2575;A2
1570-0232;A2
0894-8755;A1
0887-8013;B1
0303-6979;A1
2161-0495;C
1386-6532;A3
1874-7841;A4
1400-0350;A4
0749-0208;B1
2237-9363;B2
1868-310X;A4
0021-9975;A3
0340-7594;A2
0174-1578;A1
1066-5277;A2
0022-0019;B2
1473-2130;B1
0278-0372;A4
2573-2196;C
0385-2407;A2
2040-1744;A3
1939-0211;A2
2516-1466;B4
1365-2745;A1
0022-0477;A1
2301-3567;C
1472-4049;A2
0749-8004;B2
2006-9855;B4
2320-7078;B3
1822-4199;A3
1648-6897;A3
0733-9372;A3
0047-2425;A2
1093-4529;A4
1532-4109;B1
1001-0742;A1
0737-0806;A4
0972-060X;B2
1746-4269;A1
1420-9101;A2
1010-061X;A2
2288-1778;B1
0022-0949;A1
1477-9145;A1
0022-0957;A1
1460-2431;A1
0022-0981;A2
2471-5646;A2
1932-5231;A2
1932-5223;A2
1552-5007;A2
1552-5015;A2
